Ascent Type,Route Grade,Ascent Grade,Route Height,Route Stars,Country,Crag Name,Crag Path,Quality,Ascent_day,Ascent_month,Ascent_year,cons_grade
Flash,5a,5a,10,1,Norway,Kløvberget,Kløvberget,Good,13,4,2020,20
Red point,8,8,18,2,Norway,Fetsund,Fetsund - Venstre,Very Good,4,4,2020,46
Red point,7,7,18,3,Norway,Fetsund,Fetsund - Venstre,Classic,28,3,2020,38
Red point,6c+,6c+,15,2,Norway,Fetsund,Fetsund - Venstre,Very Good,28,3,2020,38
Red point,6-,6-,14,2,Norway,Fetsund,Fetsund - Venstre,Very Good,28,3,2020,28
Red point,6a,6a,13,1,Norway,Vannverket,Vannverket,Average,21,3,2020,28
Flash,6b,6b,10,2,Norway,Vannverket,Vannverket,Good,21,3,2020,32
Flash,6c,6c,15,2,Norway,Vannverket,Vannverket,Good,21,3,2020,36
Red point,6b+,6b+,17,2,Norway,Vannverket,Vannverket,Good,21,3,2020,34
Red point,6a+,6a+,15,2,Norway,Hammer'n,Hammer'n - Svaveggen,Very Good,18,3,2020,30
Red point,6b+,6b+,18,3,Norway,Hammer'n,Hammer'n - Hoggtanna,Classic,18,3,2020,34
Red point,6b+,6b+,22,2,Norway,Hammer'n,Hammer'n - Hoggtanna,Classic,18,3,2020,34
Flash,4,5-,10,2,Norway,Skullerud,Skullerud,Good,14,3,2020,13
Red point,7a,7a,20,2,Italy,Lazio,Lazio - Norma - Bassiano - Scoglio Dell Araguna,Good,1,3,2020,40
Flash,6c,6c,20,3,Italy,Lazio,Lazio - Norma - Bassiano - Scoglio Dell Araguna,Classic,1,3,2020,36
Red point,7a,7a,22,3,Italy,Lazio,Lazio - Norma - Bassiano - Scoglio Dell Araguna,Classic,1,3,2020,40
Flash,6b+,6b+,22,3,Italy,Lazio,Lazio - Norma - Bassiano - Scoglio Dell Araguna,Classic,1,3,2020,34
Flash,6a,6a,19,2,Italy,Lazio,Lazio - Norma - Bassiano - Scoglio Dell Araguna,Classic,1,3,2020,28
Red point,7a+,7a+,25,3,Italy,Lazio,Lazio - Sperlonga - Gaeta - Moneta - Paretone,Classic,1,2,2020,42
Flash,6a,6a,15,2,Italy,Lazio,Lazio - Sperlonga - Gaeta - Pueblo - El pueblo,Good,31,12,2019,28
Flash,6c,6c,15,1,Italy,Lazio,Lazio - Sperlonga - Gaeta - Pueblo - Boca de cielo,Average,31,12,2019,36
Flash,6b+,6b+,25,1,Italy,Lazio,Lazio - Sperlonga - Gaeta - Pueblo - El pueblo,Good,31,12,2019,34
Red point,7a,7a,15,2,Italy,Lazio,Lazio - Sperlonga - Gaeta - Pueblo - El pueblo,Very Good,31,12,2019,40
Flash,7a,7a,22,2,Italy,Lazio,Lazio - Sperlonga - Gaeta - Pueblo - El pueblo,Very Good,31,12,2019,40
Red point,7a+,7a+,18,2,Italy,Lazio,Lazio - Sperlonga - Gaeta - Spiaggia Dell'Arenauta - Grotta dell'Arenauta,Very Good,30,12,2019,42
Flash,6+,6+,24,1,Norway,Kolsås,Kolsås - Nedre Sydstup - Sektor Leningrad,Good,10,5,2019,34
Flash,5+,5+,16,1,Norway,Kolsås,Kolsås - Nedre Sydstup - Sektor Tvergastein,Good,10,5,2019,22
Flash,5,5,16,1,Norway,Kolsås,Kolsås - Nedre Sydstup - Sektor Tvergastein,Good,10,5,2019,19
