Route Name;Ascent Label;Ascent Type;Route Grade;Ascent Grade;Route Gear Style;Ascent Gear Style;Route Height;Ascent Height;# Ascents;Route Stars;Route ID;Route Link;Country;Country Link;Crag Name;Crag Link;Crag Path;Quality;Ascent Date;Log Date;Shot
Prions pour K.;Prions pour K.;Hang dog;6c;6c;Sport;Sport;;;1;**;327620424;http://www.thecrag.com/route/327620424;France;http://www.thecrag.com/area/11747155;Vosges du Nord;http://www.thecrag.com/area/786455745;Vosges du Nord - Windstein - Capitaine Crochet;Good;11.09.2022 02:00;11.09.2022 22:48;
Céboça;Céboça;Flash;6a+;6a+;Sport;Sport;10m;;1;**;327620772;http://www.thecrag.com/route/327620772;France;http://www.thecrag.com/area/11747155;Vosges du Nord;http://www.thecrag.com/area/786455745;Vosges du Nord - Windstein - Capitaine Crochet;Very Good;11.09.2022 02:00;11.09.2022 22:48;
Le sceau de l'ange;Le sceau de l'ange;Onsight;6c;6c;Sport;Sport;;;1;**;327616617;http://www.thecrag.com/route/327616617;France;http://www.thecrag.com/area/11747155;Vosges du Nord;http://www.thecrag.com/area/786455745;Vosges du Nord - Windstein - Marque de Zora;Classic;11.09.2022 02:00;11.09.2022 22:47;
Associés;Associés;Attempt;7b+;7b+;Sport;Sport;;;1;*;327597828;http://www.thecrag.com/route/327597828;France;http://www.thecrag.com/area/11747155;Vosges du Nord;http://www.thecrag.com/area/786455745;Vosges du Nord - Windstein - Associés;Good;11.09.2022 02:00;11.09.2022 22:46;
Aphérèse;Aphérèse;Onsight;6a+;6a+;Sport;Sport;;;1;**;2105668164;http://www.thecrag.com/route/2105668164;France;http://www.thecrag.com/area/11747155;Vosges du Nord;http://www.thecrag.com/area/786455745;Vosges du Nord - Windstein - Capitaine Crochet;Classic;09.09.2022 02:00;09.09.2022 18:15;
(et) Juliette;(et) Juliette;Red point;7a;7a;Sport;Sport;25m;;1;**;327593679;http://www.thecrag.com/route/327593679;France;http://www.thecrag.com/area/11747155;Vosges du Nord;http://www.thecrag.com/area/786455745;Vosges du Nord - Windstein - Face sud;Mega Classic;09.09.2022 02:00;09.09.2022 18:14;
White Wedding;White Wedding;Red point;7+;7+;Sport;Sport;;;1;***;390605550;http://www.thecrag.com/route/390605550;Germany;http://www.thecrag.com/area/11747131;Silberwald;http://www.thecrag.com/area/166354809;Silberwald - Silberwald I (links);Classic;04.09.2022 02:00;04.09.2022 22:26;
Purple rain;Purple rain;Hang dog;8-;8-;Sport;Sport;;;1;*;337738836;http://www.thecrag.com/route/337738836;Germany;http://www.thecrag.com/area/11747131;Silberwald;http://www.thecrag.com/area/166354809;Silberwald - Silberwald I (links);Good;04.09.2022 02:00;04.09.2022 22:26;
Silberrotz;Silberrotz;Onsight;6-;6-;Sport;Sport;;;1;**;261638028;http://www.thecrag.com/route/261638028;Germany;http://www.thecrag.com/area/11747131;Silberwald;http://www.thecrag.com/area/166354809;Silberwald - Silberwald I (links);Very Good;04.09.2022 02:00;04.09.2022 22:26;
X-Riß;X-Riß;Hang dog;8+;8+;Sport;Sport;;;1;**;261638949;http://www.thecrag.com/route/261638949;Germany;http://www.thecrag.com/area/11747131;Silberwald;http://www.thecrag.com/area/166354809;Silberwald - Silberwald I (links);Very Good;04.09.2022 02:00;04.09.2022 22:26;
Terpsychore;Terpsychore;Red point;7a;7a;Sport;Sport;;;1;**;2114563857;http://www.thecrag.com/route/2114563857;France;http://www.thecrag.com/area/11747155;Vosges du Midi;http://www.thecrag.com/area/881031747;Vosges du Midi - Le rocher du corbeau - Secteur principal;Classic;26.08.2022 02:00;26.08.2022 18:47;
Panique chez les Myrmidons;Panique chez les Myrmidons;Onsight;6a;6a;Sport;Sport;;;1;***;2114564793;http://www.thecrag.com/route/2114564793;France;http://www.thecrag.com/area/11747155;Vosges du Midi;http://www.thecrag.com/area/881031747;Vosges du Midi - Le rocher du corbeau - Secteur principal;Classic;26.08.2022 02:00;26.08.2022 18:47;
Les taons taons flingueurs;Les taons taons flingueurs;Onsight;6a+;6a+;Sport;Sport;;;1;**;2114564991;http://www.thecrag.com/route/2114564991;France;http://www.thecrag.com/area/11747155;Vosges du Midi;http://www.thecrag.com/area/881031747;Vosges du Midi - Le rocher du corbeau - Secteur principal;Classic;26.08.2022 02:00;26.08.2022 18:47;
Héliotrope;Héliotrope;Hang dog;7b;7b;Sport;Sport;;;2;**;1696405842;http://www.thecrag.com/route/1696405842;France;http://www.thecrag.com/area/11747155;Vosges du Midi;http://www.thecrag.com/area/881031747;Vosges du Midi - Grotte du Brotsch;Very Good;25.08.2022 02:00;26.08.2022 18:41;
